POINT	X	Y	Layer 5	DW	XW
CP001	776684	9928556	28		
CP002	771154	9923397	32	1	
CP003	766290	9916413	10		
CP004	766395	9920164	21		
CP005	768959	9924137	23	1	
CP006	769359	9925444	18	1	
CP007	770259	9931702	15		
CP008	767308	9935043	5		
CP010	771951	9925049	30	1	
CP012	778875	9914243	10		
CP013	776913	9914244	9		
CP014	771828	9915956	16		
CP015	772603	9916817	18		
CP017	779144	9918508	19		
CP018	760580	9926657	6	1	
CP019	761436	9923876	8	1	
CP020	765951	9919050	18		
CP021	785151	9929396	42		1
CP022	779067	9929213	23		
CP023	779435	9930489	16		
CP024	783388	9933039	13		1
CP025	782147	9928677	33		1
CP026	782727	9927933	115		1
CP027	784811	9932626	23		1
CP029	772200	9923564	35	1	
CP030	767828	9930542	11		
CP031	769380	9932604	9		
CP033	777314	9930372	21		
